kingsnows1759	0.8532777,0.39504713
mch2601	0.013549952,0.7125593
rimaanabtawi	1.1648657,0.53010905
lstanbulda	0.83744895,0.6329612
invitingsauce	0.3209948,0.32590437
adri_x16	0.96376365,0.09189764
getcollege	0.5469913,0.5225287
drtmg	1.589587,1.006971
furfuroll	0.46508947,0.41881627
tweet2u2	-0.44537517,0.6675236
mykeemm	0.18873478,0.41443703
robsmithjr	0.3187799,0.6382659
tysonsch15	0.5312883,0.87890524
drscott_atlanta	0.56819665,0.5776334
teknicalfoul23	0.7764172,-0.2778608
electro_mike	0.3417782,0.35606292
icebergslim1047	0.79536,-1.1257596
gschasgs	0.60361636,0.8265011
gmaildotson	0.48297477,0.54247856
afederalfarmer	0.26179695,0.535053
roastaceieb	1.0940307,-1.9103311
malcstilltalk	1.1393257,-1.8810971
doc_jjk	0.1716193,0.5427493
p9ruggiero	0.9062126,0.63877237
sharonsousley	0.1143526,0.6326448
tyhira__	0.8928246,0.66363204
clayspicks	0.9627391,-0.2686672
micamaryjane	0.35737854,1.0987397
birdsfan17	0.11137359,0.9070371
contentwarning	0.44826996,0.1195047
jezzamtg	0.26449743,0.318062
dobermanmamma	0.1507025,-0.08741455
socaljarhead95	0.53250015,0.8424412
jimmer315	1.1067082,0.111662276
bathgateanthony	0.34299842,0.7772291
hey_bishop	1.2123338,1.6161435
octanemodels	0.5917408,0.83579063
ayyalien	0.7701675,-0.22191156
scrub58	0.25089392,0.6390795
fuckniggafabian	1.1635814,-1.9038956
joyceezee	0.41239813,0.5745823
shoenatic	1.1219847,-1.8561785
sclay318	0.8366918,0.6845755
thisguyralph	0.88877004,0.24475177
thcmoonman	1.1785254,-1.8277174
hiyaitssaira	1.2841156,0.39382997
egoaltered02	-0.056103703,0.71099126
c__jissel	0.85516065,0.55645424
whoispmk	0.14088531,0.83918476
sarandipity89	-0.51710224,1.3451282
duckemup_	0.37974578,0.16098092
cnn	0.7951557,0.5963961
vivifotygyh	0.81346256,0.56273794
blindcappper	0.99582946,-0.28680092
nicole_kanne	0.48297477,0.54247856
thegoodsin	1.13142,1.2690969
gamergirl13245	0.5248031,0.83386457
dirtyneega	1.016622,0.41550118
ncdriverrdm	0.81103736,0.40146244
hismuse4ever	0.48473242,0.8302013
lingling23	0.015983084,0.5525372
bonzochill	1.1847296,-1.8419303
fbcken	0.8090714,0.34737006
teewan1	1.2397361,0.15377143
abel_theweeknd_	0.86349046,0.6876861
nanaziegler	0.050893575,0.54115397
m0l0nl4be	-0.012575749,0.5891038
_khatagories	1.4122849,0.010904828
sirjustinfromca	0.9641246,-0.28973714
jsmcneal	0.05280894,0.4583622
looneyytune	0.9881629,-0.2780999
truthaaron77	0.24791923,0.90248996
mdunbar0130	0.32682848,0.14994058
karenmonsour12	0.52337337,0.49360785
jasonhacker77	0.8535912,0.7386719
reeceecup	0.6579712,0.36371735
dagnyred	0.17434639,0.6812445
rogerlykpenible	-0.27397412,0.12434681
ashm_barnett	0.2281754,0.3570478
unicornhulk	0.8896505,0.5645804
lvnancy	0.33782783,0.33673802
quechainz	1.1451238,1.0629197
lovenoputas	1.064853,-1.8887947
_kelzzzzz	0.8828152,0.54525745
6redsecurity	0.061612494,0.5022399
nochilivines	1.1691352,-1.7895421
der_bluthund	0.53653646,0.21045169
64_proxies	0.86805815,-0.30186456
wally_meg	-0.539798,1.3392895
christj71	-0.2845588,0.14612657
thucydidestried	0.06527954,0.46423066
juanfcas	0.77880436,0.6483322
yungplankton	1.175655,-1.8777962
youknowsimba	1.0555536,-1.8288672
sdupree40	0.10494796,0.54649097
arnoldse38	0.026907034,0.46762154
wingsofwilson	0.3738287,0.3397247
rodfitz1954	-0.12772942,0.7725761
biksoul	1.1847295,-1.8419305
jholmsted	0.1879789,0.47140676
spokenknowledge	1.2752091,0.23320612
madkillaskillz	0.9465407,-0.5725485
princessphattie	1.0219694,0.42884442
calvin_wilkins	0.7746749,0.51361054
cesifogiqis	0.8001098,0.5627204
sandragonzalez2	0.55416584,0.8993621
jimlamb195	0.5099518,0.6438468
the_real_liljoe	1.2523303,0.2212121
radiorednation	0.027936144,0.78871614
deborahlovesusa	0.22783491,0.6152097
proper_g420	1.1980522,1.6173902
m42calhoun	0.5322025,0.7055031
stevenhodo	0.5917411,0.8357911
chrgdup1973	0.08457026,0.5159714
post_west	0.11137362,0.9070371
drowninginthots	1.1861782,-1.8174139
classickrause	0.014397733,0.02988188
usafmedic21	-0.14553775,1.0236151
yojustinking	-0.11890726,0.79850084
_yamava	0.35026598,1.1539608
pollysimson	-0.0990709,0.62885743
obamasurvival	0.050893564,0.54115397
allhailtaron	1.0782347,-1.8501382
jsnitkin	0.6017911,0.81483847
nicolearbomb	0.26761964,0.36345693
womengetpolitic	0.8532455,0.39714828
dilloncox6	0.79153186,0.5059616
marg0_p0lo	0.09838222,0.8996287
drone_ops	0.4671516,0.85748386
witchywoman722	0.0449669,0.6241058
blanc_papillon7	0.17514019,0.8075628
yabbut	0.9229907,0.49630865
optvmizely	1.1091677,-1.9131883
dowhatwemust	0.015555049,0.20949657
mikeyangus	0.36065438,0.74936473
danger_speaks	1.1975448,1.6284509
rob_festa	0.44984967,0.5501047
shereiqns	1.2845451,0.17308655
us395	0.100550234,1.0223488
juicedoutthug	1.1393343,-1.88116
deftnss	1.0592875,-1.874251
ultm8swfans	0.7885921,0.384655
gysicyfehazu	0.79699844,0.63642675
myworld6371	0.37830034,0.72006977
terrimarsh11	-0.0028399301,0.7541556
wwe_throwback	1.1886667,-1.8770678
westinghouse565	0.84011936,0.74478865
foundersgovt	0.027428605,0.73867786
sexii_jesse	1.0675515,-1.8067638
mikeheadlyyy	1.1618245,-1.8606353
constituentone	-0.20215608,0.60727257
clary_catherine	0.7720034,-0.39844006
saytootie	0.22071168,0.89574987
brozlofsky	0.6601895,0.7316587
tutejefafom	0.7788046,0.6483325
asiankingpin	1.0790933,-1.7926002
parmi_giana	0.8489616,0.5920824
she_dexigns	0.375186,-0.26406047
tkvibe	0.3656895,-0.25425377
danno_a_jyd	0.13489586,0.45633587
gilesssarah	0.90951985,0.613392
hananchehata	1.2859771,0.22519785
wordslikewind	0.7538079,0.5221537
jayy_saa	0.88678586,0.58032537
alsharefbinadam	0.73466694,0.34028357
dnapadg	0.5559396,0.933933
vhersace	1.084833,-1.8372484
stasinicole359	1.0134777,0.3550807
robbieredlv	0.32060707,0.29636538
don1998d	0.03512828,0.7548335
six_sextillion	1.5979412,1.0313729
kalexis25	0.8931335,0.6363132
crotty_chop	0.5288823,0.89171684
markryancy	0.29787928,0.37788975
cjrobertson_	0.5158805,0.808895
breezehillfarm	0.311174,0.27688384
jmseger	0.6530556,0.24074817
sethknives	0.4874485,0.87218267
bummyant	1.1604124,-1.8427701
orion99da	0.1219227,0.89824003
aidanmessier	0.22799604,0.35586053
amdefnews	-0.07754162,0.66902614
seldengadawgs	0.01786436,0.47815377
glouplicia	0.9429047,-0.27640343
belladashwood	0.28582707,0.8418047
mr_fitimy	1.2197216,1.5969261
madonnalovedale	0.8029331,0.50259745
imneverchillin	1.0890797,-1.8972646
kimmaytube	1.2632437,0.15239996
bayareaintifada	0.9287058,0.4445706
melserwbal	0.3180634,0.39837044
richyyyx	0.796282,0.34614
drvnknetwork	1.3548307,-2.3654375
joeman42	0.48975715,0.22058754
suzieq3dognite	0.6833768,0.6539446
harukachan96	-0.54310805,1.3253137
psugoldenlover	0.32367638,0.8690869
hoeiiywood	1.122767,-1.8844786
thatboimeechi	1.1393075,-1.8810112
dawnjerrene	0.02520582,0.9855575
cynlhh	1.0527525,-1.8611246
big_daddy_simsy	0.8806231,-0.45312655
realcockeness	0.90621036,0.6387699
nextlevelee	1.2523303,0.22121215
iamtamerah	0.76962155,0.59468764
rnrarkansas	0.056093533,0.7351566
mem_nana	0.8686837,0.54714996
aye1002	0.86026734,0.54096067
laurentborredon	0.56828314,0.8923564
redsoutrage	-0.16005825,0.90278995
recla1mliberty	0.0026747857,0.77085596
susana2112sr	0.8042469,0.6692285
timoxatados	0.8134294,0.5952328
brianornduff	0.29044485,0.2786734
b_aaadder	0.71079075,0.9572446
cureourcountry	-0.15998623,0.66221523
arthuranthony4	1.1576266,0.82905674
charmcity_nikki	0.4056453,0.155546
guti0220	0.4669274,0.6004513
jerome09	0.5730062,0.23387073
ghadaadahg	0.43011266,0.4504053
saa_saaa12	0.6183845,0.6637834
adolfocruz1994	0.80000645,0.68815076
sbpdl	0.13105603,0.5523556
riskyliberal	0.18064234,0.09600975
alvedakingryf	-0.23408915,0.46495578
ksthecookrader	0.35189682,0.31428862
vickeybatson	0.8686829,0.54714614
jesskartalija	0.06558707,-0.19826332
xywycotunam	0.80046004,0.57997185
sixpercentamont	1.2760328,-0.12835976
eyokley	0.5794796,1.0314078
rex_cramer	0.6439947,0.23175791
chucknellis	-0.028514113,0.6990658
politalkal	0.021576688,0.65673923
kuhifagytih	0.8934847,0.5527489
tomamabile	0.2731745,0.29247347
damongiles1973	0.103849106,0.9384485
mostafah789	1.4881295,0.60381097
lindnld	0.22247665,0.39813435
tyl3rmayne	0.0026796565,0.77087903
dirtbikemir	0.3619078,0.88968104
alison_rambles	-0.0023531925,1.0127856
vibedoser	1.0941387,-1.791555
jack_degennaro	0.3955849,0.34107432
lrhjr68	0.30327377,0.3456029
ronsantofan	-0.39786702,0.6787134
davidwojcicki	0.55415916,0.8993632
dcpenn29	-0.36886087,0.47134212
cspeer4554	1.2566619,0.16804081
lairtammie	0.556322,0.85429215
vicjhernandez21	0.55716276,0.8537108
prince_ahmed13	0.8448476,0.62082255
pattyjahner	0.31976697,0.855602
akushanul	1.1612585,1.0945027
conservativeind	0.040939514,1.021603
farahfaroul	0.5730833,0.23381357
uzbuititi	1.1500071,-1.8034896
mariana4589	0.8332313,0.3786435
calebdunham64	0.88534755,0.64863324
jukiej	0.3425791,0.57336754
politicsustd	0.83719856,0.39190468
dearasia	1.3548521,-2.3654287
egy_jadid	0.83261544,0.587128
ihatematt	0.53789824,0.22406706
kimmeesue6	0.3269095,0.6119978
kerryepp	0.03567378,0.7507504
moskru	0.36764312,-0.19406554
stateline69j	-0.29715493,0.6571565
iridium24	0.4875565,0.4466161
alisunshine23	0.34146422,0.6133419
therealmgoddess	0.5268449,0.26355496
debostic	0.49788705,0.976873
jojofythat	0.8649582,0.5785007
renshawmichael2	1.6007396,1.0167617
compleatcunt	1.255864,-0.10514665
ashhhhleeeey_	1.2458738,0.19168451
slick15rk	0.1707399,0.6604626
iamymb_yungwon	0.35432327,1.0575718
coldcoffeetv	1.2387162,0.14495707
yungxashy	1.0853865,-1.8613288
boscoroc	0.010904491,0.51849973
wai1twit	0.026907034,0.46762154
johnfugelsang	0.7723383,-0.004183689
vernelavurl	1.0452514,0.34113127
lecraeman	0.094082676,0.8877225
405okiejewell	1.0035154,0.347223
wakeup__america	1.0756537,0.4035156
reallythatfew	0.6439947,0.23175792
lindsaay_grimes	0.8589597,0.63827354
elizabeth27ann	0.042113267,0.39389867
robertpalladino	0.38057068,0.2816024
arcticfox_am_i	0.4882669,0.44512734
vibesco_	1.1728226,-1.893139
amazingfutboi	1.1178238,-1.8999556
baii22	0.5073915,0.866306
pykyhilukym	0.7829686,0.61171204
thevinelock	1.1468563,-1.8668512
chelsea_elisa	0.20245677,0.8383847
ssweetsirenn1	0.669238,0.7092511
gentelman7777	0.5553895,0.88638335
crunched4time	0.064711355,0.66922116
jedevarez	0.5198303,0.8652042
proudoftheusa	0.0073816464,0.5436098
stopthis	0.8226618,0.35336527
tipmysuck	1.076711,-1.9020416
blackrepublican	-0.27838913,0.745648
nacole_s_smith	1.2423744,1.5693038
sonaztee	0.36596763,0.31705645
tements	1.1064061,-1.8868635
omartin41	0.017448632,0.71461296
25ryguy	0.8732155,0.58757585
friendsofbones	0.6846443,0.076680526
francedarrell	0.5601219,0.5891699
organic_reality	0.1759583,0.8462102
teapartytown	0.405847,0.73510146
brennaa_lynn	1.1896095,0.43040946
caitysult	-0.060288396,0.2125044
anowrt	0.44982848,-0.003526633
rnrhawaii	0.008212094,0.74534976
tcot2014	0.32529408,0.28403822
sydney_lynn07	-0.5936933,0.71071553
frankgoremagala	0.8189998,-0.17143483
blamebiggovt	-0.009086535,0.7323723
karim_nashaat	0.840119,0.7447889
loushelly	0.056396395,0.6488263
jimidevine	1.6266991,0.8072963
k_mcq	0.2429896,0.6185936
peekabooduke	-0.4976969,1.3651317
donlemon	1.0331018,0.5524009
greencardalex	1.129953,-1.8663845
oldbaldeagle	0.03450066,0.4769524
texasman2008	0.54786545,0.7941914
bleuletoile	0.015742827,0.64097285
auntyneville664	0.021795597,0.51771706
abc2_alerts	0.08003297,1.2313336
capitalctv	1.2250726,1.6095085
livebmorelife	0.43321946,0.21553715
mkues65	-0.020699147,0.6439859
mygypajinym	0.8448343,0.57679313
toiletrapist	0.17449221,0.22119841
tomadelsbach	1.1681652,0.6006963
joseph_deal	0.2781785,0.35695073
maaddiieee	1.1869447,-1.8569973
mrmacmax92	0.843326,0.5309818
metaknight57	0.84745216,0.69368833
julesm2014	1.2626401,0.39516693
lyndag1963	0.3579099,0.33408105
shannonswift61	0.49009627,0.70433116
consciouseri	0.5673327,0.21988603
off2ibiza	0.3612951,0.46676958
sar_of_japan	1.1052763,1.0705649
fbcllc	0.083809085,0.5942146
loveine	0.0135587,0.78464186
yaboyymrfrog	1.1365399,-1.8472283
justagerman38	0.26762423,0.36346027
2biblez	0.36090016,0.45931703
usassg_enigma	0.013826265,0.7847552
ergoat	1.2377152,0.7121869
chloejanice	0.37634203,-0.26480174
westxgal	0.56627864,0.5727737
buck_carte	0.21134171,0.45509115
lavenderoilblue	0.5577032,0.23128396
robbase92q	0.36550337,0.94067407
zd_2018	0.5268449,0.26355496
alexsauruszilla	0.31168765,0.333465
terrisanislo	0.047391243,0.57694906
ybthamoviee	1.2632437,0.15240003
stlnetworkguru	-0.05284059,0.74883837
daddydinerotm	1.1628113,-1.8021516
phobiaofficial	1.194962,-1.8683143
theone4471	0.6244245,0.27184907
secretwitness67	0.32110617,0.36330888
nicotobon66	0.8634921,0.6878836
00titulares	0.877505,0.66185653
ally_rood	1.2274923,0.20325105
rachelcohen12	0.34160164,0.52421826
tuerkcuehaber	0.5643873,0.28874552
marblee	0.16712283,0.46827167
leeleemunster	0.19998215,0.70014703
mrnoahitall	0.38714322,0.32860768
biqyzelikeh	0.8324069,0.60164005
pcufinn	0.3202217,0.8144757
janovorabopo	0.8485732,0.607462
nikkiburdine	0.18580307,0.33521694
librasfinest__	1.2512031,0.1446234
carlosdan_ger	0.040322125,1.1256522
_memfreq	0.87943023,-0.27790564
freedomgirl2011	1.3881707,0.7488661
thewarrenpage	0.2260104,0.73331255
jadedbypolitics	0.10748914,0.6321323
tracieeeeee	0.19810563,0.487515
ethehustla	1.2697028,0.40877935
mac72terry	-0.30625343,0.47968563
cyberbaddies	1.163582,-1.9038947
big_cle_fan	0.3048131,0.29002047
sk8rnez	0.7242799,0.33327547
sdixon3171	1.2455943,1.6019212
caredzfan	0.6272141,0.6733939
larimarat	0.010929262,0.4917715
rkline56	0.5891497,0.82115394
vceofanangl	1.1949943,0.14298885
terrysti	0.0763681,0.78561413
kutegirlxx	1.0986474,-1.8629407
naenil	0.61784333,0.2208619
barefootchris46	0.16935396,0.52489054
kphed	-0.05848392,0.92773986
remcoromeo	0.36624435,0.6394218
driverwithrage	1.1342204,-1.8035731
mackdane_	1.0664867,-0.021559259
jt_aka_tyree	1.0794175,-1.8489412
deemike1983	0.13354622,0.65792304
morgan_dancer	0.8632366,0.565916
vuqivedyboda	0.836927,0.6340953
eddiejunkie	1.0260258,0.37922022
glowstickhippie	1.3917372,-2.3702888
skywalkerplc3	0.45541513,0.72303015
tonybananas_	0.63383335,0.2642454
reptile_tweet	0.88281476,0.5452564
hathooi	0.53198534,0.27219647
mkcrosland	0.38871732,0.70631564
iamcolettarenee	0.8649623,0.57852125
_brendantodd	1.1595074,0.39893606
palestininianpr	0.48149833,0.52526253
foiafactor	0.18668166,0.63574153
holilalfalah_99	0.877505,0.66185653
bigvinalright	0.32366365,0.585962
jwitz5593	0.7926854,0.65245944
the_real_fly	0.31458792,1.0888836
shooterjp99	0.2632236,0.34962192
mdgre2002	0.54574895,0.8354879
fvckedfeels	1.0767108,-1.9020417
phawker	0.52788836,0.118728176
jeffdeprof	-0.36992985,0.75416875
el_ghouate	-0.2697733,0.14225008
primetimecrime	0.032001726,0.5105468
johncardillo	0.20116076,0.7625273
waltermoore5	0.020659175,0.771618
oldcrownest	1.6106436,0.2636905
lisaandmelissa	1.0592875,-1.874251
pat_turley	0.44067836,0.5989965
dcnyatl	0.3195942,0.56611645
fiji1017	1.0754119,-1.8784224
mariesaysno	0.8738543,-0.3926853
rogue_beaver	-0.08644858,0.9505079
creamsickill	0.0810154,0.50275457
cowboysnation09	0.9515102,0.78552395
sandsunisland	0.20580956,0.5830085
dwood517	0.171702,0.9364468
g_is_for_great	0.7867019,0.4168072
phildecarolis	0.49833858,0.29579008
obeytilly	0.8484605,0.6932561
se__jo	0.3317729,0.2628813
gottabstrong	0.07144539,0.6119936
mrcrpoetry	0.53201145,0.8012196
jaz_x0xo	1.1595074,0.39893597
kellymatthews08	-0.53059447,1.3206968
rainlover86	1.1521585,-1.8917232
nassau74	-0.0010698171,0.9333508
sdsteveac	0.31048417,0.8674855
r5auslly	0.41979802,0.11317893
stjohnswoods	0.15718341,0.8377841
customjewel	0.0047838427,0.65851504
sadables	1.1143223,-1.8080318
adoretyja	0.4642316,0.94341445
c_aoibheann	0.35034657,0.7212108
doctorcara	0.55916965,0.56090134
carolfoster13	0.20140558,0.59478885
sheepyrapey	0.1881535,0.237922
cardsandthings5	0.26424295,0.30491334
mckinleyfr	0.34939292,0.66408664
outlawbillykid	0.36065987,0.3638239
montel_williams	0.37752137,0.84143615
scootyourboot	1.1357828,-1.89734
cheftech4020	0.33823416,0.75427985
tudocyxokuw	0.8089841,0.650648
arevamartin	-0.059569396,0.86945117
drlmponte	0.57305604,0.23383433
rehoqumalose	0.82704496,0.55567986
babyfacerobb	0.9627391,-0.2686672
meileiend	-0.22062442,0.6536468
pamelajn922	0.17371559,0.8220775
vladteichberg	0.98924583,0.4098358
emrobichaux	0.92363733,-0.5881681
dropoutofschool	1.088478,-1.8729862
kris_the_goon	0.31920552,0.34948868
jem_and_scout	0.6402008,0.36973327
goofast_	-0.2739736,0.12434877
timlaketv	0.50907254,0.22670586
maggiestoneham	0.060035318,0.6360195
backyardconserv	0.05280894,0.4583622
filsdetafa	1.1054384,1.1039627
joykeller1	0.41298524,0.30671495
rickcanton	0.53964585,0.59391767
deenibeans	0.40633503,0.7804529
rducppp	0.35038418,0.6339171
paulye330	0.6662168,1.1879442
bwtunno	0.5917412,0.83579123
beamofpearlaqua	0.90951985,0.61339235
davebraham1	0.2632235,0.34962168
hilariousroasts	1.1691549,-1.8158664
edwardashton30	0.47476727,0.4383786
avalonchihuahua	0.49414808,0.82411003
lascolinas	0.4539906,0.7470813
vjeannek	0.10609922,0.6541186
ben_techpro	0.06426997,0.7786214
winborneb	1.2303855,1.5853565
rpeter99	0.2537302,0.3276645
blakecelestial	1.1763668,-1.8657237
brightijghts	1.0260284,0.3792326
vibesstuff	1.1886667,-1.8770678
iamextor	0.6867745,1.1735351
louisbaltimore	-0.26489425,0.117261454
brammere	-0.13161449,0.62975234
heysyd	0.7711593,-0.08817458
bonana__queen	0.32099292,0.32590175
reneetoole	-0.36918604,0.76814866
rnrnorthdakota	0.013324919,0.7845336
spoutnikzer	-0.27986774,0.1336469
nigguhruiz	0.3254474,0.37958235
drubald	0.50062066,0.26622587
nauglekevin	0.48779386,0.6766492
jbsrq	0.38718495,0.32859743
youngxlean	0.88405657,0.6750407
irsbygod2	0.533639,0.50132215
toofikb	1.1584349,0.36924496
lucy28961	-0.2034035,0.5800901
missirisjean	0.13811848,0.34666014
denisewjz	0.3263753,0.099441834
sasuke_uchiha_4	0.38274226,0.34955266
jhooperbabyx32	0.84396243,0.3685984
_cassie13	0.8573989,0.55472696
wofwb	0.79078126,0.51909775
fabricjunkie	0.33157563,0.31851014
cleanqiy	0.74423486,0.333561
claydirtman	0.1717015,0.72926044
dougwnew	0.7143447,0.80409366
__vitaminkay	1.2413936,0.4495371
nelibelixo	0.3349348,0.29536068
iriecultura_	1.0219679,0.42883834
mikeduncan241	0.06527955,0.46423075
xanman	1.3710479,-2.3657143
athena5000	1.2704321,0.37088567
elaineinmd	-0.14462814,0.7045612
c_waters10	0.8538599,0.6793037
ouiseone	1.262488,0.39493272
j_arthurgomes	0.7826885,0.5106083
kuncous	1.1198674,1.0965786
dimperachi	0.40216142,-0.27081075
kiing_pin	0.85359263,0.73867095
swank__lupe	1.2249756,1.621815
pjstrikeforce	0.1622407,0.69072205
kgrey52	0.5471253,0.8758928
kellijean83	0.5541664,0.89936197
grakus_gaming	0.33302602,0.317545
branicole	0.59877586,0.862795
scootertaylor	0.59059507,0.87441623
ewvirtualradio	0.45399064,0.7470812
lucy_vikki	0.52369803,0.025467005
judi_flynn2	-0.13481142,1.0751741
talonspoint	-0.26710796,0.636896
damanda8351	0.9093179,0.627798
oldusarmyvet	0.07807448,0.5757268
mtnbikerdenis	0.14010659,-0.08118959
yaniiskye	0.9094917,0.61322635
cnnphotos	0.9041269,0.4548379
truthseeker1947	0.7013901,0.38624915
aosothic	0.867557,-0.3761657
rahnbforney	0.35117128,0.2775229
bjrogi	0.50658405,0.8865568
poemclown	0.010904483,0.51849973
muj187	0.14820114,0.90570223
graffiti_kid_17	0.89282435,0.66364294
adaptanita	1.0142734,0.8237851
mauriceschleepe	0.61783355,0.22085986
deadliftingamer	0.053449497,0.47203395
kobefor3clank	0.26423994,0.3049179
bandera_coup	0.124993846,0.91215754
kristykelly013	0.40564448,0.7345511
occupyla	0.9997851,0.44725937
xychelsea	1.1911395,0.50229275
babsdtb	-0.28051463,0.17115717
yogsotho	1.2848736,-0.118199416
frvmed	1.1468481,-1.8668531
grumpis101	0.80910295,-0.077533014
brenduhh__	0.8433277,0.53098404
rawadfree1	1.222954,0.18456379
whitepplruin	1.1342472,-1.8036312
natshupe	0.10575545,0.58304733
therealklauss	0.11137361,0.9070371
y21__	0.9057569,-0.5008854
fierymadredhead	-0.10392366,0.42664108
jcon71	0.84487534,0.41085348
mofpe	0.73470926,0.32595083
_lilbrownskin	1.291717,0.21161509
knightblkrifle	0.11137362,0.9070371
tbhvibess	1.1397865,-1.9157883
john_16_2	0.029023228,1.3724127
denakhalafallah	0.8286749,0.6957146
jendevnj	0.31162092,0.7151463
kimberly62295	0.8762599,0.5591509
adambaldwin	0.06737626,0.6724348
loveshatanya	0.83481723,0.36030516
got_sherwood	0.3630394,0.5870818
awardtothewise	0.19524479,0.5433285
sexualmindss	1.0522475,-1.8444762
wkettinger	0.0058613,0.50616056
naturallykish94	0.2297694,0.34259745
sven10077	-0.16005825,0.90278995
thefignewton__	1.1321137,1.0847622
thepoohitthefan	0.53651595,0.21046022
1234nickie_	-0.53980076,1.3392916
air_jordan41	0.37676054,0.7351825
derek51323045	-0.22062442,0.6536468
heyylt	0.21661732,0.746005
nancyruta	-0.12593797,1.0834188
ayodomi_	1.0978862,-1.8040149
sugarcakes83	0.40564483,0.15554549
chuckcjohnson	0.33366305,0.77120185
smilepiease	0.4201288,-0.26092425
bakerlarry84	0.5423804,0.88919884
riverdalepd	0.31707644,0.4500956
sandstock	0.08692269,0.6711161
soccermomjenn	0.086567506,0.5472448
ghostcathoarder	0.39562842,0.30462998
_patjohnson_	0.2420624,0.6994454
fattyalexis	0.52369803,0.025467005
jenilynn1010	0.38858646,0.2924038
ogreuasshole	0.3252928,0.28403822
mattybthelegend	0.85320693,0.39712307
queenfranziee_	0.87484676,0.6389452
zoekev1k	1.275214,0.2332119
bobsdeniro	1.3808292,-2.3780887
swagjiggy	0.85085,0.41819108
1millionpatriot	0.07652662,0.77464783
cam4573	0.58446884,0.86140746
bipartisanism	0.94010985,0.41006124
tyfilynevugu	0.8326155,0.5871362
larrytaylor19	0.0447718,0.48428524
karavij	0.013641426,0.5886624
recklessintent8	0.8485732,0.607462
stxr67	1.1861783,-1.8174138
princessemiee	1.2632363,0.15237226
cinnaminm	0.064711355,0.66922116
buca22	0.0036386729,0.5298134
deliaxcor	1.1892213,0.38916102
drlogician	0.14010659,-0.08118959
gruntpov	0.53529847,0.86382693
mddailyrecord	0.22626653,0.16725443
kingsutty	-0.12155091,0.8921023
plosilver	0.53250015,0.8424412
cathistephens	0.061612494,0.5022399
nartist	1.6136221,1.0128555
awiss420	0.777559,0.3921847
celticcross52	-0.14462762,0.7045612
aspano68	0.74826676,0.12643789
apicspredator	1.1398276,1.118966
dovernjtaurus	0.59771645,-0.03682594
bennettruth	-0.056428846,0.59089816
jebdaman	0.57828426,0.8335264
13thtruck	0.3387376,0.5523896
johnriverstoo	0.17435154,0.6806594
nowickicon	0.5684419,0.7937446
redone68	0.35750186,0.7355383
suheymarie	0.8286624,0.6957062
magstweets8	0.7883801,-0.09163017
tukaibola	0.5564576,0.85421
ynx212	1.2375096,0.21215613
izzyleigh13	0.5457469,0.8354935
courtney_worth	1.1321137,1.0847622
henjoeschmoe	0.6867992,0.63797075
butler41	0.107399486,0.8937497
devilsketchup	0.34193593,0.28638938
rainingstarzzz	0.9855992,0.08625491
lmlauraflyme	0.5174286,0.89096063
freelassie	0.49668878,0.73245907
prettygurl85	1.1398276,1.118966
mrtrixiboobs	0.3104341,0.30494702
jrellohello	0.6148461,0.6780907
lx_nayy	0.82866,0.6957046
just_old_joe	0.0036386729,0.5298134
boxaqemaqym	0.77371854,0.6225079
ka11eyy	0.9539795,0.14342903
jeffreykocian	0.38840958,0.57412744
robparsons13	0.13610741,0.5273377
greennova	0.79153186,0.50596166
synthovine	0.24908209,0.2124034
soter_pop	0.8762593,0.5591506
fox5deskguy	0.5585662,0.86828655
_awilliams__	0.4431745,0.20084716
presidentquawn	1.1846187,-1.8881005
suefolmar1	0.15533014,-0.069038704
cullennorburg	0.53128237,0.87890154
redeasteagle	0.54238033,0.8891989
getoffthedambus	0.35370705,0.2921946
iamphillychase	1.0117065,0.26286447
kelscheyenneee	0.6717143,1.1746417
cindystarbuck	0.13399303,0.77349067
tracigeisler	0.5729219,0.8039197
owsmediagroup	0.9975177,0.43480167
g3rman_cal	0.54993105,0.22111776
lisamichelle20	-0.10819177,0.56531006
jennifermcfarl4	-0.1047393,0.5922282
kembielizabeth	0.8369198,0.63411164
tampa_dreadhead	1.1975448,1.6284509
darknatas007	0.22059897,0.8958859
nerd4915	-0.02944353,0.6924849
cavazosricky	0.7900231,0.41595674
triscuitsmami	0.07028287,0.7593804
jlamigueiro	0.77518654,0.41302785
whiteshot	0.14527695,0.6251804
urboistan	1.0527327,-1.8611724
yblackgop	0.07160452,0.5153405
aboel_wafa	0.54747933,0.1914147
danmnwr	0.49596232,0.8614232
1964laura1	0.066518985,0.52910817
angeltrickss	0.65788466,1.1789601
badgalarari	1.310593,0.4751842
texicalirose	-0.058942057,0.8380905
fxckry4n	0.414315,-0.27156124
yola_bakinsoda	1.2917475,0.19727471
concrndfthrprep	0.2932267,0.88973653
bbcu263	0.34541613,1.2196282
jimshoe5252	0.019992214,0.50371283
astoldbyjae	0.822663,0.3533621
dawncatherine	0.5577032,0.23128396
dennausa	0.82322127,0.38696957
chrismonty	0.7737074,0.2892458
liquid741	0.47923106,0.60593814
pinkxedge	1.016622,0.41550118
warrenpeas64	0.33681566,0.8667795
monstermash1989	0.6439947,0.23175769
desired1naz	0.3585678,0.2682199
usthestrongest	0.24240233,0.7622498
_freemarketeer	-0.19823562,0.91361475
andrewcool9	0.7737074,0.2892458
